"date","actual_rv_gk","returns_test","garch_norm_static","gjr_t_static","garch_norm_roll","gjr_t_roll"
2021-12-09,9.78130446431109e-06,-0.00718108016989472,0.000158513557326435,0.000143322114540362,0.000144260290285142,0.000122768021369219
2021-12-10,3.224804324338e-05,0.00954907333848176,0.000158519371432453,0.000143331911781384,0.000135619961552277,0.000122203773606275
2021-12-13,1.14610895389113e-05,-0.00913616761156766,0.000158525127883397,0.000143341624038391,0.000130273848953222,0.000111770221830153
2021-12-14,6.63650721824632e-05,-0.00747067757743602,0.000158530827250998,0.000143351252048555,0.00012679780690325,0.000118156574187922
2021-12-15,0.000141194459759564,0.0163484646307468,0.000158536470101317,0.000143360796542659,0.000120739509688147,0.000118832062727157
2021-12-16,0.000101088152895254,-0.00874341537998047,0.000158542056994805,0.000143370258245143,0.000134983992781955,0.000108807814720499
2021-12-17,8.46936496572238e-05,-0.0102876806370926,0.000158547588486351,0.000143379637874166,0.000130130262001176,0.000114197721385406
2021-12-20,7.03116439006318e-05,-0.0113880578514099,0.000158553065125344,0.000143388936141656,0.000129348370509541,0.000124412011595845
2021-12-21,5.5136385345498e-05,0.0177779345515725,0.000158558487455726,0.000143398153753365,0.000131054328020152,0.000137945300884453
2021-12-22,2.45345784999144e-05,0.0101801972205788,0.000158563856016041,0.000143407291408925,0.000149390404172593,0.000126071129762882
2021-12-23,2.20499444812109e-05,0.00622369992166183,0.000158569171339497,0.000143416349801898,0.0001434286405145,0.00011522099008762
2021-12-27,1.71565828340058e-05,0.0138389352474753,0.000158574433954012,0.000143425329619829,0.000131928865639591,0.000105452232293623
2021-12-28,1.44336135298712e-05,-0.0010101548486261,0.00015857964438227,0.0001434342315443,0.000137178699096252,9.66949096873931e-05
2021-12-29,1.43734884035409e-05,0.00140189513942701,0.000158584803141772,0.000143443056250981,0.000123255198291091,8.90614557853767e-05
2021-12-30,2.05299945043159e-05,-0.00298975559450931,0.000158589910744885,0.000143451804409681,0.000110901337166319,8.18878494229933e-05
2021-12-31,8.35553337920247e-06,-0.00262617991365754,0.000158594967698898,0.000143460476684399,0.00010119915000659,7.7363118800716e-05
2022-01-03,2.67032032830486e-05,0.00637405253097056,0.000158599974506068,0.000143469073733373,9.23901644831933e-05,7.28490745536666e-05
2022-01-04,4.07306571192654e-05,-0.000629621957060511,0.000158604931663673,0.000143477596209133,8.72660365831446e-05,6.7301320150131e-05
2022-01-05,8.29701203075135e-05,-0.0193927577906872,0.000158609839664057,0.000143486044758548,7.92107296512104e-05,6.23982238036905e-05
2022-01-06,6.53223760785511e-05,-0.00096376901620765,0.000158614698994683,0.000143494420022875,0.000113923038908923,0.000126570489146346
2022-01-07,3.90714425376502e-05,-0.00405021674009176,0.000158619510138182,0.00014350272263781,0.000102813612356409,0.000115936885916326
2022-01-10,0.00018845269016363,-0.00144103125345496,0.000158624273572397,0.000143510953233534,9.50976917694877e-05,0.000109490786937273
2022-01-11,9.77153678169563e-05,0.00915998466871182,0.000158628989770432,0.000143519112434763,8.63815943823885e-05,0.000100863434769497
2022-01-12,3.95997379536255e-05,0.00281775444302945,0.000158633659200702,0.000143527200860791,8.62117780608571e-05,9.25631517227104e-05
2022-01-13,0.000102274017351767,-0.0142436152864307,0.000158638282326974,0.000143535219125542,7.87229909320603e-05,8.50702150982281e-05
2022-01-14,4.79087748257075e-05,0.000819980269748832,0.000158642859608418,0.000143543167837617,9.45321701145341e-05,0.000115595943656859
2022-01-18,4.00088793451285e-05,-0.0183879456940074,0.000158647391499651,0.000143551047600333,8.55679523663585e-05,0.000105812144624024
2022-01-19,0.000101639935296102,-0.00968954186833881,0.000158651878450779,0.000143558859011777,0.000115277022006436,0.000158549857375491
2022-01-20,0.000294865922891197,-0.0110373784941483,0.000158656320907449,0.000143566602664847,0.000114715134676097,0.000162128047617759
2022-01-21,0.000143012494302384,-0.0189148218679086,0.000158660719310886,0.000143574279147298,0.000117177912030537,0.000170437605303435
2022-01-24,0.000958071870452181,0.0027717389433819,0.000158665074097939,0.000143581889041787,0.00014545578108662,0.000220529537321417
2022-01-25,0.000403754893743134,-0.0121719062536467,0.000158669385701126,0.000143589432925916,0.000130714212005084,0.000200149234134975
2022-01-26,0.000505634572055941,-0.00149663584775184,0.000158673654548677,0.000143596911372279,0.000134238355005402,0.000209414703002149
2022-01-27,0.000312873344198031,-0.00538408875771057,0.000158677881064574,0.0001436043249485,0.000121136025112092,0.000190829252389352
2022-01-28,0.000332984927322282,0.0243476468880761,0.000158682065668595,0.000143611674217281,0.000112702969212845,0.000179304067815761
2022-01-31,0.000129950972475449,0.0188859517327795,0.000158686208776357,0.000143618959736444,0.000161228280616731,0.000163524853034456
2022-02-01,9.62060892332789e-05,0.00686300355780145,0.000158690310799351,0.000143626182058969,0.000180357730278828,0.000149144591477755
2022-02-02,5.25101188460758e-05,0.00942251544733641,0.000158694372144993,0.000143633341733043,0.000165032992393929,0.00013604679101326
2022-02-03,6.54452998189692e-05,-0.024391082077444,0.000158698393216656,0.000143640439302096,0.000156000128397084,0.000124264737713679
2022-02-04,0.00018627075825752,0.0051569298644234,0.000158702374413713,0.000143647475304844,0.000205258242512146,0.000221003689127829
2022-02-07,5.36350779100574e-05,-0.00370171263474295,0.000158706316131577,0.000143654450275331,0.000185218720556237,0.000200739018379571
2022-02-08,7.45019463500955e-05,0.00840120719166326,0.00015871021876174,0.000143661364742967,0.000167301665091002,0.000185369518113193
2022-02-09,1.44574444408354e-05,0.0145172078875055,0.000158714082691811,0.000143668219232571,0.000156199889704129,0.000168756333989679
2022-02-10,0.000220361373724751,-0.0181157256684598,0.000158717908305558,0.00014367501426441,0.000160537295509717,0.000153826415380738
2022-02-11,0.000242650485443312,-0.0189694543445634,0.00015872169598294,0.000143681750354237,0.000180297213142251,0.000199904971466635
2022-02-14,9.51232778125875e-05,-0.00384059672629322,0.000158725446100151,0.00014368842801333,0.00020124819240562,0.000247270101881317
2022-02-15,1.36697680852909e-05,0.0157667211707204,0.000158729159029651,0.000143695047748536,0.00018148143972916,0.00022741559088977
2022-02-16,8.29296126573644e-05,0.000881207755895064,0.00015873283514021,0.000143701610062302,0.000186671547333377,0.000206719239158575
2022-02-17,5.98374961436649e-05,-0.021173138152195,0.00015873647479694,0.000143708115452717,0.000166784662264574,0.000187960383219119
2022-02-18,9.35503935582601e-05,-0.0071661613961429,0.000158740078361332,0.000143714564413551,0.00019879787448549,0.000252059502358301
2022-02-22,0.000226257271021954,-0.0101429452648328,0.000158743646191293,0.00014372095743429,0.000183562693481618,0.000238641147957396
2022-02-23,0.000183854570728658,-0.0184121228454877,0.000158747178641179,0.000143727295000174,0.000176104676110115,0.000235954409118887
2022-02-24,0.000534456589389277,0.0149568560673292,0.000158750676061834,0.000143733577592234,0.000195047530033405,0.000275815232561738
2022-02-25,0.000105549376220639,0.0223726776556035,0.000158754138800623,0.000143739805687327,0.000196257864209645,0.000250360204918575
2022-02-28,0.000135549889933175,-0.00244260344064762,0.000158757567201466,0.000143745979758177,0.000225537226031924,0.000227559186637898
2022-03-01,0.000194527242332112,-0.0154735036804119,0.00015876096160487,0.000143752100273405,0.000201852008319182,0.000208074804241251
2022-03-02,8.02843596827287e-05,0.018642691757321,0.00015876432234797,0.000143758167697566,0.000207076806049194,0.000232945936989004
2022-03-03,0.000103362542391334,-0.00525466643008832,0.000158767649764554,0.000143764182491189,0.000219301115848138,0.000211762666733752
2022-03-04,8.41315274222207e-05,-0.00793404255033447,0.000158770944185103,0.000143770145110804,0.000199117780568702,0.000197950266456573
2022-03-07,0.000107932078536041,-0.0295181583134492,0.000158774205936818,0.000143776056008984,0.000185162068581767,0.000192027617984193
2022-03-08,0.0003760919120874,-0.00723375351819977,0.000158777435343657,0.000143781915634376,0.000260455542084467,0.000330921264146095
2022-03-09,9.61477625783816e-05,0.0256982478914358,0.000158780632726365,0.000143787724431733,0.000238324991028766,0.000309805049739391
2022-03-10,9.41258304027376e-05,-0.00429181365166786,0.000158783798402506,0.000143793482841952,0.000279306244155076,0.000281335576476804
2022-03-11,0.000105911479005108,-0.0129615451234751,0.000158786932686497,0.000143799191302106,0.000250605439739588,0.0002589309671877
2022-03-14,0.000189107686158648,-0.00742100246596367,0.000158790035889634,0.000143804850245476,0.000242445632599997,0.000265969528220864
2022-03-15,7.59704047122866e-05,0.0214085741708709,0.000158793108320129,0.000143810460101583,0.000222027834240309,0.000251905655586161
2022-03-16,0.000207848023967328,0.0223837613571822,0.000158796150283134,0.000143816021296225,0.000244154346706455,0.00022892580089666
2022-03-17,6.57523115954018e-05,0.012347817571452,0.00015879916208078,0.000143821534251504,0.000268134754095741,0.000208244055942867
2022-03-18,8.1698382890839e-05,0.0116622948279488,0.000158802144012197,0.000143826999385863,0.000252987376250901,0.000189428578647063
2022-03-21,8.31963268751771e-05,-0.000434660362103934,0.000158805096373551,0.000143832417114114,0.000238558573164323,0.000172451600636122
2022-03-22,3.46136393343921e-05,0.0113041136006502,0.000158808019458072,0.00014383778784747,0.000212555418006341,0.00015712900457269
2022-03-23,2.48554443740224e-05,-0.012272698789159,0.000158810913556081,0.000143843111993578,0.000202042436216216,0.000143329784463834
2022-03-24,2.79106682999045e-05,0.0143439129205665,0.000158813778955019,0.00014384838995655,0.000197443922235602,0.000158702239371474
2022-03-25,4.1760518946872e-05,0.00506617056744907,0.000158816615939479,0.00014385362213699,0.000196511168862975,0.000144819501483788
2022-03-28,5.92160657946145e-05,0.00714495527658676,0.000158819424791231,0.000143858808932029,0.000177366430691414,0.000132150058462633
2022-03-29,3.83488590862533e-05,0.0122565474275305,0.00015882220578925,0.000143863950735354,0.000163124068980553,0.000120724661307891
2022-03-30,4.22973556171352e-05,-0.00629370017469788,0.000158824959209744,0.000143869047937234,0.000160567750026721,0.000110583029096206
2022-03-31,3.93061515434284e-05,-0.0156525407131773,0.000158827685326185,0.000143874100924555,0.000148548142174839,0.000108955528544178
2022-04-01,4.0679225446134e-05,0.00341022258435841,0.00015883038440933,0.000143879110080847,0.000160761607238318,0.00014466730411454
2022-04-04,2.48626245324953e-05,0.00809093868787936,0.000158833056727253,0.000143884075786312,0.000144799733927923,0.000132083957998525
2022-04-05,0.000109733261696876,-0.0125517208018073,0.000158835702545368,0.000143888998417854,0.000135924872934912,0.000120752145849212
2022-04-06,6.92226900761154e-05,-0.0097169166132719,0.00015883832212646,0.000143893878349111,0.000140004228532173,0.000139504841811225
2022-04-07,0.000112242413953578,0.00425338562849253,0.000158840915730704,0.000143898715950474,0.000136589312555635,0.000145041557739711
2022-04-08,5.12148234939888e-05,-0.00265102648205429,0.000158843483615698,0.000143903511589126,0.000124069924209373,0.00013242446890382
2022-04-11,3.03273780852112e-05,-0.0168772901035542,0.000158846026036485,0.000143908265629064,0.000112531181180065,0.000122590210034698
2022-04-12,0.000173289144063286,-0.00341744771774177,0.000158848543245579,0.000143912978431125,0.000133431251798365,0.000163830107513571
2022-04-13,4.17245206759976e-05,0.0111745775972361,0.000158851035492988,0.00014391765035302,0.000121402653872994,0.000151811395550102
2022-04-14,6.08228679971438e-05,-0.0121441378443979,0.000158853503026243,0.000143922281749353,0.000121154263088168,0.000138593216171814
2022-04-18,4.07903155927185e-05,-0.000204868284032989,0.000158855946090421,0.000143926872971656,0.000125944359178163,0.000153693236663971
2022-04-19,6.36176609929046e-05,0.0160576043555272,0.000158858364928166,0.000143931424368408,0.000113207557311264,0.000140299114709201
2022-04-20,3.59515553921942e-05,-0.000618475071580971,0.000158860759779718,0.000143935936285068,0.000127459245794443,0.000128256997492785
2022-04-21,0.00023837686001997,-0.0147529484983719,0.000158863130882933,0.000143940409064098,0.000114726456160337,0.00011746024228874
2022-04-22,0.000105082440060432,-0.0277400542507537,0.00015886547847331,0.000143944843044988,0.000127837828538508,0.000147145487295102
2022-04-25,0.000231835541740755,0.00569793698538223,0.000158867802784013,0.000143949238564283,0.000198869590599491,0.000271874464140139
2022-04-26,6.83872165253604e-05,-0.0281463084310039,0.000158870104045892,0.000143953595955612,0.000180380987291933,0.000246628117072223
2022-04-27,0.000171327986845761,0.00209804685170178,0.000158872382487508,0.000143957915549705,0.000248178690833478,0.000366304385468276
2022-04-28,0.00030782324067015,0.0247469000729394,0.000158874638335156,0.000143962197674428,0.00022125125563168,0.000331498011466092
2022-04-29,0.000274089166289686,-0.036284507106414,0.000158876871812889,0.0001439664426548,0.000259465898229844,0.000301036356148726
2022-05-02,0.000326000281188701,0.00567524281235365,0.000158879083142535,0.000143970650813021,0.0003750982199088,0.000509456922394545
2022-05-03,7.52119621136974e-05,0.00483712638148637,0.000158881272543723,0.000143974822468498,0.00033518811152822,0.000460307454750221
2022-05-04,0.000400794909742179,0.0298624210844023,0.000158883440233906,0.000143978957937865,0.000299518151672323,0.000416202130809313
2022-05-05,0.000437781002620871,-0.035649708609807,0.000158885586428378,0.00014398305753501,0.000357875116491725,0.000377509018849432
2022-05-06,0.000237751228737266,-0.00567422484248403,0.000158887711340301,0.0001439871215711,0.000458044503420108,0.000570599298789957
2022-05-09,0.000152657231182952,-0.0320371006323568,0.00015888981518072,0.000143991150354601,0.000409242944187625,0.000521660562701547
2022-05-10,0.000352216738752407,0.00245789744985347,0.000158891898158589,0.000143995144191303,0.000476270607378378,0.000657254120910725
2022-05-11,0.000380452803280738,-0.0164632075039384,0.00015889396048079,0.000143999103384346,0.000421414501845454,0.000593230320780553
2022-05-12,0.000349499554105873,-0.00129596450587177,0.000158896002352153,0.000144003028234238,0.000404310156443072,0.000585729817036761
2022-05-13,8.84193195742356e-05,0.0238696954230715,0.000158898023975477,0.000144006919038881,0.000358270052187153,0.000529779431495201
2022-05-16,0.00012043199864437,-0.00394640092955567,0.00015890002555155,0.000144010776093593,0.000375760163372769,0.000479479795168859
2022-05-17,6.6058220889063e-05,0.0201696322348637,0.000158902007279168,0.00014401459969113,0.000335654536754829,0.000436968168326765
2022-05-18,0.000218892958085104,-0.0403952607874526,0.000158903969355158,0.00014401839012171,0.00033888160797948,0.000395734468904457
2022-05-19,0.000157253240140816,-0.00583378180099259,0.000158905911974393,0.000144022147673032,0.000479693955951718,0.000649959715196592
2022-05-20,0.000571881868692767,0.000146141769658437,0.000158907835329813,0.0001440258726303,0.000428547012730977,0.000593939882125322
2022-05-23,9.7216707000273e-05,0.0185550399309236,0.000158909739612448,0.000144029565276243,0.000380042380036018,0.000536995996964247
2022-05-24,0.000211577829122317,-0.00812079761717521,0.00015891162501143,0.00014403322589114,0.000371320204676322,0.000485985032020911
2022-05-25,0.000116174111766477,0.0094507647342077,0.000158913491714018,0.000144036854752836,0.000337260524686623,0.000452291509095355
2022-05-26,0.00012425684571759,0.0198832561672242,0.000158915339905613,0.000144040452136769,0.000307876201498191,0.000409463061848838
2022-05-27,4.49747392125408e-05,0.0247422629551097,0.000158917169769777,0.000144044018315983,0.000313435347249588,0.000371071980083446
2022-05-31,0.000109599995233921,-0.00627436861765907,0.000158918981488253,0.000144047553561159,0.000340763642143801,0.000336642755764259
2022-06-01,0.000199568024986684,-0.00748276868113185,0.000158920775240981,0.000144051058140627,0.000307262292563676,0.000312661077072946
2022-06-02,0.000162815455850995,0.0184310180384861,0.000158922551206116,0.000144054532320389,0.000279565332148403,0.000294062421786961
2022-06-03,3.78594811326266e-05,-0.0163473139924156,0.000158924309560049,0.000144057976364142,0.000282626242828598,0.000267031159111536
